Unidade de negócio,Case Name,Cliente,Ano do case,MD,Focal do time,Setor,Produto,Status,ID,Created,Item Type,Path
Corporate Transformation (2018 - 2021),Elfa: Ressetorização da Força de Vendas,Elfa Medicamentos,2021,"Pela, Mauricio;#18","Denardin, Bruno;#129",10;#Farmoquímicos e Farmaceuticos,59;#Sales Force Effectiveness,Validado,41,27/10/2021 09:00,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Bizhub,Elfa: Saneamento de cadastro,Elfa Medicamentos,2022,"Bonora, Ricardo;#116","Cabral, Lucas;#82",10;#Farmoquímicos e Farmaceuticos,104;#Data Analytics,Validado,130,3/8/2022 05:41,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Bizhub,Eneva: Plataforma para Governança de Projetos,Eneva,,"Bonora, Ricardo;#116","Coutinho, Alexandre;#330",23;#Energética,104;#Data Analytics,Validado,51,19/1/2022 04:41,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
PEPI (CT),Eneva: PMI Urucu,Eneva ,2021,"Munier, Kevin;#26","Ribeiro, Joao;#227",24;#Químico e Petroquímico,32;#Post-Merger Integration (PMI),Validado,79,13/4/2022 12:24,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Operations (CT),Equatorial Energia: EQUATORIAL MARANHAO DIST - Footprint Logístico,Equatorial Energia,2022,"Menano, Joao;#2472","Nery, Guilherme;#2808",23;#Energética,278;#Logistics and distribution,Validado,1143,31/7/2023 06:59,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Operations,"Ergon, Inc.: Estudo de malha de distribuição","Ergon, Inc.",2023,"Kurayama, Fernando;#3068","Patrus, Leticia;#4054",24;#Químico e Petroquímico,416;#Logística e distribuição [Operações logísticas],Validado,1221,3/4/2024 05:22,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Strategy,Estrella Galicia: Revisão do modelo de negócio com parceiros no Brasil,Estrella Galicia,2024,"Pela, Mauricio;#18","Azevedo, Larissa;#442",8;#Bebidas,401;#Estratégia corporativa,Validado,1256,19/9/2024 09:47,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Eternit: Otimização de Custos (SG&A),Eternit,2024,"Mendes, Carlos;#16","Ferreira, Henrique;#286",14;#Comércio,436;#Redução de custos G＆A e custos indiretos,Validado,1223,22/4/2024 11:25,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services,Evoltz Participações: IT Diagnostic + Interim IT Management,Evoltz Participações,2023,"Quintao, Fabio;#23","Domingues, Alexandre;#364",23;#Energética,399;#Diagnóstico de Tecnologia;#398;#Gestão Interina - CTO,Validado,1257,25/9/2024 09:54,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services,Evoltz Participações: IT Diagnostic + Interim IT Management,Evoltz Participações,2023,"Quintao, Fabio;#23","Domingues, Alexandre;#364",23;#Energética,,Validado,1258,25/9/2024 15:00,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Evoltz Participações: Processo Orçamentário,Evoltz Participações,2023,"Mendes, Carlos;#16","Moreira, Gabriel;#303",23;#Energética,280;#Gestão,Validado,1216,26/3/2024 08:34,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Finance,Farmacias Independente: Gestão de Caixa e FP&A,Farmacias Independente,2023,"Mendes, Carlos;#16","Pirri, Guilherme;#1456",14;#Comércio,403;#Gestão de caixa,Validado,1184,9/1/2024 06:42,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
Digital & Technology Services (CT),Firjan: Diagnóstico de TI​,Firjan,2020,"Quintao, Fabio;#23","Passone, Laura;#30",79;#Industrial,83;#IT Diagnosis,Validado,169,21/10/2022 10:19,Item,sites/KnowledgeCorporateTransformation/Lists/Cases
